180,0914845772,ADVANCED MS-DOS PROGRAMS,DOS    ,Ray Dunkan,468,2,2
181,0023598409,IBMPC ASSEMBLY LANGUAGE & PROGRAMMING      ,DOS,Kip r irvine,687,2,2
182,048667164X,Mathematics of classical and Quantum Physics,EC,Byron and Fuiler,400,2,2
183,0126077207,SOLID STATE PHYSICS,EC   ,Frederick seitz,426,2,2
184,047141526X,INTRODUCTION TO SOLID STATE PHYSICS       ,EC,Charles Kittel,680,2,2
185,0131427067,MATHEMATICAL STATISTICS,EC    ,Miller & Miller,670,2,2
186,8120300289,SYSTEM SIMULATION WITH DIGITAL COMPUTER     ,EC    ,Narsingh Deo,216,2,2
187,0818505141,PROBABILITY & STATISTICS,EC    ,JAY L.DEVORE,640,2,2
188,0071165371,SIMULATION MODELLING & ANALYSIS,EC   ,Averill M. Law and  W David Kelton,784,2,2
189,1565926641,DEVELOPING BIOINFORMATICS COMPUTER SKILLS,EC    ,Cynthia Gibas,427,2,2
190,0125980558,PROBABILITY MODELS,EC   ,Sheldon M. Ross,400,2,2
191,0137463146,A FIRST COURSE IN PROBABILITY,EC     ,Sheldon Ross,514,1,1
192,0130200719,PROBABILITY & RANDOM PROCESS WITH APPLICATION,EC    ,Henry Stark,699,2,2
193,0132364158,PATTERN RECOGNITION & IMAGE ANALYSIS  ,EC    ,Earl Gose,484,2,2
194,0596000804,BEGINNING PERL FOR BIOINFORMATICS,EC   ,James Tisdall,368,1,1
195,013086398X,BIOSTATISTICAL ANALYSIS   ,EC  ,Jerroldltzar,662,1,1
196,0471929719,QUANTUM MECHANICS,EC,F mandl,301,1,1
197,0471980854,INTRODUCTION TO COMPUTATIONAL CHEMISTRY  ,EC ,Frank Jensen (Wiley),429,1,1
198,0130925535,APPLIED MULTIVARIATE STATISTICAL ANALYSIS ,EC   ,Ricahrd A. Johnson and Dean W. Wichern,767,1,1
199,0131469908,COMPUTATIONAL PHYSICS,EC ,Nicholas J. Giordano,900,1,1
200,0387952306,MONTE CARLO STRATEGIES IN SCIENTIFIC COMPUTING,EC,Jun S. Liu,767,1,1
201,0585277834,EVOLUTIONARY GENETICS.,EC ,John Maynard Smith,330,1,1
202,0471326720,PROBABILITY AND STATISTICS  FOR COMPUTER SCIENCE,EC  ,James L. Johnson,409,1,1
203,0130984698,PROBABILITY & STATISTICS FOR ENGINEERS & SCIENTISTS ,EC,Walpole and Myers and  Myers,730,2,2
204,0521585198,ALGORITHMS ON STRINGS TREES AND SEQUENCES. COMPUTER SCIENCE & COMPUTATIONAL BIOLOGY  ,EC  ,Dan Gusfield,534,1,1
205,0534242642,PROBABILITY & STATISTICS FOR ENGINEERING AND THE SCIENCES  ,EC,Jay L. Devore,743,2,2
206,0201360764,STATISTICAL MECHANICS,EC ,Richard Feynman,1403,2,2
207,3540208739,BIOINFORMATICS TECHNOLOGIES,EC ,YI-PING PHOEBE CHEN (ED.),396,2,2
